RAM,CPU,Battery,Internal,Class,Range,Network_type
6,3.0,69,32,1,126,DTN
4,3.3,100,8,2,11,MANET
8,1.6,92,4,2,147,DTN
1,2.7,29,8,2,28,MANET
6,2.2,8,8,4,26,MANET
6,1.4,35,32,1,96,MANET
8,1.6,13,4,4,88,MANET
4,1.3,66,8,2,119,DTN
3,2.4,15,32,3,33,MANET
4,1.2,99,32,1,134,DTN
3,2.7,8,64,3,99,MANET
2,2.1,47,4,2,108,DTN
4,1.3,57,4,2,50,MANET
6,2.6,93,32,1,4,Bluetooth
2,2.4,63,32,1,126,DTN
1,2.2,52,64,1,68,MANET
6,1.9,80,32,1,20,MANET
8,2.1,39,8,2,42,MANET
2,1.4,5,8,4,9,Bluetooth
3,1.9,45,16,2,111,DTN
2,1.2,28,8,2,77,MANET
1,2.1,58,32,1,83,MANET
4,3.3,31,4,2,86,MANET
4,2.4,28,32,1,73,MANET
4,2.8,89,32,1,58,MANET
1,1.4,44,64,1,46,MANET
6,2.8,56,8,2,110,DTN
4,1.3,82,8,2,103,DTN
6,2.7,90,8,2,1,Bluetooth
3,1.3,23,4,2,54,MANET
3,3.0,59,16,2,69,MANET
8,3.3,46,4,2,6,Bluetooth
4,3.0,57,8,2,20,MANET
1,1.9,19,4,4,2,Bluetooth
1,1.2,42,16,2,55,MANET
4,3.2,27,16,2,137,DTN
2,1.4,35,4,2,72,MANET
8,1.9,36,32,1,87,MANET
3,2.6,86,4,2,63,MANET
3,1.9,48,8,2,15,MANET
3,1.1,36,4,2,73,MANET
4,1.2,10,32,3,28,MANET
6,2.3,53,4,2,67,MANET
2,2.3,46,64,1,13,MANET
1,3.0,97,64,1,102,DTN
8,2.8,94,8,2,124,DTN
1,2.8,98,16,2,78,MANET
3,3.1,33,16,2,117,DTN
8,3.1,62,64,1,65,MANET
6,1.6,52,4,2,64,MANET
1,2.6,95,64,1,125,DTN
3,1.3,31,8,2,46,MANET
2,1.6,97,64,1,101,DTN
4,1.2,96,32,1,58,MANET
8,2.1,34,4,2,66,MANET
1,2.0,52,8,2,77,MANET
4,3.4,69,32,1,66,MANET
6,1.0,23,64,1,142,DTN
4,3.4,56,4,2,18,MANET
1,1.9,37,16,2,60,MANET
1,2.9,99,32,1,97,MANET
2,1.2,67,8,2,11,MANET
2,2.8,17,32,3,145,DTN
1,2.9,86,32,1,63,MANET
1,1.3,31,16,2,142,DTN
1,3.2,65,8,2,50,MANET
6,2.7,43,32,1,22,MANET
6,1.9,68,16,2,105,DTN
2,1.0,16,4,4,80,MANET
6,1.2,6,32,3,45,MANET
4,3.2,91,8,2,4,Bluetooth
4,3.1,69,8,2,35,MANET
8,2.0,38,16,2,55,MANET
1,2.7,99,16,2,72,MANET
2,1.5,15,32,3,95,MANET
1,2.1,93,16,2,18,MANET
8,1.6,95,16,2,117,DTN
6,2.7,82,64,1,34,MANET
6,2.3,98,64,1,134,DTN
1,2.2,39,64,1,106,DTN
4,3.1,60,16,2,102,DTN
6,2.1,58,64,1,144,DTN
4,2.1,19,32,3,62,MANET
8,2.5,62,8,2,14,MANET
6,1.1,85,64,1,8,Bluetooth
2,1.1,14,16,4,32,MANET
2,1.1,9,64,3,82,MANET
3,1.2,50,16,2,62,MANET
2,1.6,98,32,1,9,Bluetooth
1,2.2,64,8,2,3,Bluetooth
6,1.5,29,8,2,124,DTN
3,1.0,69,16,2,136,DTN
1,3.2,39,4,2,133,DTN
6,2.7,75,8,2,114,DTN
3,3.2,92,32,1,71,MANET
4,2.8,6,8,4,9,Bluetooth
1,3.3,31,8,2,28,MANET
8,1.3,91,64,1,17,MANET
8,2.7,26,8,2,139,DTN
3,2.7,25,4,2,85,MANET
4,2.1,55,8,2,37,MANET
6,3.1,51,64,1,83,MANET
2,2.1,63,16,2,45,MANET
8,2.6,87,64,1,34,MANET
3,2.8,5,32,3,19,MANET
1,2.0,27,32,1,121,DTN
3,2.9,95,32,1,6,Bluetooth
4,1.4,52,16,2,43,MANET
1,3.4,22,8,2,133,DTN
2,1.1,46,64,1,100,MANET
3,3.1,7,4,4,90,MANET
3,2.7,50,4,2,74,MANET
4,3.1,91,32,1,31,MANET
8,2.9,60,64,1,9,Bluetooth
3,3.0,61,64,1,39,MANET
8,3.0,86,64,1,5,Bluetooth
8,1.2,71,32,1,100,MANET
4,1.8,34,4,2,22,MANET
6,1.3,95,4,2,94,MANET
3,2.7,80,4,2,62,MANET
6,2.2,10,32,3,29,MANET
8,1.8,13,4,4,74,MANET
8,2.6,63,32,1,83,MANET
3,1.8,60,8,2,42,MANET
4,1.9,85,8,2,109,DTN
6,2.6,92,8,2,17,MANET
1,3.3,37,32,1,28,MANET
2,1.0,68,16,2,92,MANET
6,1.9,25,4,2,24,MANET
1,2.4,98,64,1,119,DTN
6,1.6,75,64,1,130,DTN
8,3.0,96,64,1,22,MANET
4,2.4,91,8,2,148,DTN
4,1.6,35,32,1,43,MANET
8,1.2,59,8,2,131,DTN
3,3.3,100,64,1,89,MANET
3,2.7,27,8,2,6,Bluetooth
6,1.8,82,4,2,26,MANET
6,2.2,47,16,2,127,DTN
1,1.2,21,8,2,32,MANET
3,2.9,39,32,1,54,MANET
6,1.7,12,64,3,80,MANET
6,3.2,34,16,2,145,DTN
1,3.2,95,32,1,12,MANET
1,2.6,87,16,2,110,DTN
2,1.4,86,32,1,6,Bluetooth
8,1.1,86,8,2,93,MANET
2,3.3,67,16,2,126,DTN
1,1.5,50,4,2,38,MANET
1,2.0,29,4,2,85,MANET
2,3.4,57,64,1,140,DTN
1,2.7,36,32,1,69,MANET
4,2.1,87,32,1,13,MANET
8,3.0,80,32,1,103,DTN
4,1.7,65,4,2,148,DTN
1,2.1,35,32,1,121,DTN
2,1.2,56,64,1,99,MANET
2,1.1,88,8,2,89,MANET
6,1.2,93,32,1,134,DTN
1,1.2,13,32,3,2,Bluetooth
3,3.2,25,16,2,69,MANET
2,1.7,6,64,3,74,MANET
8,2.7,85,64,1,138,DTN
6,2.1,50,4,2,92,MANET
4,3.4,62,4,2,86,MANET
2,1.6,14,64,3,87,MANET
6,2.5,52,32,1,14,MANET
6,1.5,17,32,3,55,MANET
4,1.8,7,64,3,87,MANET
2,3.4,89,8,2,7,Bluetooth
6,2.7,85,8,2,77,MANET
8,2.7,25,16,2,100,MANET
1,2.6,52,32,1,133,DTN
4,2.1,15,4,4,82,MANET
8,2.1,28,8,2,119,DTN
6,3.1,16,8,4,114,DTN
2,1.5,9,4,4,140,DTN
1,1.2,39,16,2,120,DTN
4,3.3,100,8,2,18,MANET
6,1.1,86,64,1,11,MANET
3,1.5,33,64,1,137,DTN
1,2.5,56,64,1,12,MANET
4,1.8,29,4,2,68,MANET
3,2.3,15,32,3,30,MANET
4,3.4,26,32,1,17,MANET
1,2.6,6,32,3,84,MANET
8,1.3,73,64,1,83,MANET
2,3.2,89,64,1,60,MANET
3,1.8,13,64,3,127,DTN
8,2.1,46,64,1,145,DTN
4,1.8,79,64,1,10,Bluetooth
8,1.5,84,8,2,76,MANET
8,2.3,55,16,2,35,MANET
6,1.7,90,64,1,81,MANET
6,3.0,48,16,2,47,MANET
8,1.6,64,8,2,96,MANET
1,2.4,70,4,2,62,MANET
1,2.8,38,8,2,134,DTN
2,1.0,90,64,1,137,DTN
2,2.9,53,16,2,7,Bluetooth
6,2.8,61,16,2,55,MANET
6,2.1,95,4,2,16,MANET
1,2.5,14,16,4,89,MANET
2,2.7,72,8,2,4,Bluetooth
2,2.1,51,64,1,116,DTN
4,2.1,85,8,2,105,DTN
